Date,Open,High,Low,Close,Adj Close,Volume
2022-07-20,39.560001,40.005001,38.820000,39.599998,39.599998,13946408
2022-07-21,39.500000,40.099998,39.119999,39.520000,39.520000,11409767
2022-07-22,38.900002,40.180000,38.709999,39.840000,39.840000,25188675
2022-07-25,39.230000,39.599998,38.735500,39.240002,39.240002,10395602
2022-07-26,39.080002,39.529999,38.889999,39.340000,39.340000,12637219
2022-07-27,39.580002,40.110001,39.131199,39.849998,39.849998,11598069
2022-07-28,39.759998,40.900002,39.580601,40.889999,40.889999,10153642
2022-07-29,40.799999,41.779999,40.750000,41.610001,41.610001,11787736
2022-08-01,41.119999,41.349998,40.459999,40.889999,40.889999,14094775
2022-08-02,40.750000,41.270000,40.650002,40.980000,40.980000,5244403
2022-08-03,41.000000,41.389999,40.889999,41.000000,41.000000,9348811
2022-08-04,41.000000,41.230000,40.549999,41.060001,41.060001,6169363
2022-08-05,40.810001,42.660000,40.599998,42.520000,42.520000,16048236
2022-08-08,42.939999,43.544998,42.869999,42.939999,42.939999,8130857
